"date","district","group","n"
"2022-03-17","虹口区","screen",1
"2022-03-17","黄浦区","screen",12
"2022-03-17","嘉定区","isolation",3
"2022-03-17","嘉定区","screen",27
"2022-03-17","金山区","screen",1
"2022-03-17","静安区","screen",3
"2022-03-17","闵行区","isolation",64
"2022-03-17","闵行区","screen",14
"2022-03-17","浦东新区","isolation",5
"2022-03-17","浦东新区","screen",6
"2022-03-17","普陀区","isolation",3
"2022-03-17","普陀区","screen",3
"2022-03-17","青浦区","screen",1
"2022-03-17","松江区","isolation",9
"2022-03-17","松江区","screen",1
"2022-03-17","徐汇区","isolation",9
"2022-03-17","徐汇区","screen",19
"2022-03-17","杨浦区","isolation",2
"2022-03-17","长宁区","screen",1
"2022-03-18","宝山区","isolation",17
"2022-03-18","宝山区","screen",9
"2022-03-18","奉贤区","isolation",1
"2022-03-18","奉贤区","screen",6
"2022-03-18","虹口区","isolation",12
"2022-03-18","虹口区","screen",7
"2022-03-18","黄浦区","isolation",6
"2022-03-18","黄浦区","screen",9
"2022-03-18","嘉定区","isolation",11
"2022-03-18","嘉定区","screen",33
"2022-03-18","金山区","isolation",7
"2022-03-18","金山区","screen",8
"2022-03-18","静安区","isolation",8
"2022-03-18","静安区","screen",4
"2022-03-18","闵行区","isolation",36
"2022-03-18","闵行区","screen",22
"2022-03-18","浦东新区","isolation",36
"2022-03-18","浦东新区","screen",29
"2022-03-18","普陀区","isolation",14
"2022-03-18","普陀区","screen",9
"2022-03-18","青浦区","isolation",1
"2022-03-18","青浦区","screen",15
"2022-03-18","松江区","isolation",7
"2022-03-18","松江区","screen",5
"2022-03-18","徐汇区","isolation",17
"2022-03-18","徐汇区","screen",22
"2022-03-18","杨浦区","isolation",3
"2022-03-18","杨浦区","screen",5
"2022-03-18","长宁区","isolation",2
"2022-03-18","长宁区","screen",5
"2022-03-19","宝山区","isolation",13
"2022-03-19","宝山区","screen",3
"2022-03-19","崇明区","isolation",22
"2022-03-19","奉贤区","isolation",4
"2022-03-19","奉贤区","screen",2
"2022-03-19","虹口区","isolation",6
"2022-03-19","黄浦区","isolation",25
"2022-03-19","黄浦区","screen",11
"2022-03-19","嘉定区","isolation",47
"2022-03-19","嘉定区","screen",32
"2022-03-19","金山区","isolation",3
"2022-03-19","静安区","isolation",5
"2022-03-19","静安区","screen",10
"2022-03-19","闵行区","isolation",1
"2022-03-19","闵行区","screen",48
"2022-03-19","浦东新区","isolation",45
"2022-03-19","浦东新区","screen",82
"2022-03-19","普陀区","isolation",17
"2022-03-19","普陀区","screen",8
"2022-03-19","青浦区","screen",5
"2022-03-19","松江区","isolation",13
"2022-03-19","松江区","screen",3
"2022-03-19","徐汇区","isolation",20
"2022-03-19","徐汇区","screen",41
"2022-03-19","杨浦区","isolation",12
"2022-03-19","杨浦区","screen",2
"2022-03-19","长宁区","screen",12
"2022-03-20","宝山区","isolation",11
"2022-03-20","宝山区","screen",2
"2022-03-20","崇明区","isolation",12
"2022-03-20","奉贤区","isolation",12
"2022-03-20","奉贤区","screen",1
"2022-03-20","虹口区","isolation",11
"2022-03-20","虹口区","screen",1
"2022-03-20","黄浦区","isolation",36
"2022-03-20","黄浦区","screen",4
"2022-03-20","嘉定区","isolation",37
"2022-03-20","嘉定区","screen",2
"2022-03-20","金山区","isolation",11
"2022-03-20","静安区","isolation",31
"2022-03-20","静安区","screen",1
"2022-03-20","闵行区","isolation",218
"2022-03-20","闵行区","screen",29
"2022-03-20","浦东新区","isolation",189
"2022-03-20","浦东新区","screen",30
"2022-03-20","普陀区","isolation",17
"2022-03-20","普陀区","screen",1
"2022-03-20","青浦区","isolation",4
"2022-03-20","松江区","isolation",7
"2022-03-20","松江区","screen",2
"2022-03-20","徐汇区","isolation",39
"2022-03-20","徐汇区","screen",6
"2022-03-20","杨浦区","isolation",6
"2022-03-20","杨浦区","screen",2
"2022-03-20","长宁区","isolation",11
"2022-03-20","长宁区","screen",1
"2022-03-21","宝山区","isolation",61
"2022-03-21","宝山区","screen",6
"2022-03-21","崇明区","isolation",34
"2022-03-21","崇明区","screen",4
"2022-03-21","奉贤区","isolation",18
"2022-03-21","奉贤区","screen",3
"2022-03-21","虹口区","isolation",23
"2022-03-21","黄浦区","isolation",44
"2022-03-21","黄浦区","screen",5
"2022-03-21","嘉定区","isolation",96
"2022-03-21","嘉定区","screen",2
"2022-03-21","金山区","isolation",14
"2022-03-21","金山区","screen",1
"2022-03-21","静安区","isolation",38
"2022-03-21","静安区","screen",6
"2022-03-21","闵行区","isolation",103
"2022-03-21","闵行区","screen",9
"2022-03-21","浦东新区","isolation",122
"2022-03-21","浦东新区","screen",41
"2022-03-21","普陀区","isolation",23
"2022-03-21","普陀区","screen",7
"2022-03-21","青浦区","isolation",4
"2022-03-21","青浦区","screen",1
"2022-03-21","松江区","isolation",30
"2022-03-21","松江区","screen",8
"2022-03-21","徐汇区","isolation",107
"2022-03-21","徐汇区","screen",19
"2022-03-21","杨浦区","isolation",9
"2022-03-21","杨浦区","screen",1
"2022-03-21","长宁区","isolation",23
"2022-03-21","长宁区","screen",3
"2022-03-22","宝山区","isolation",11
"2022-03-22","宝山区","screen",5
"2022-03-22","崇明区","isolation",19
"2022-03-22","奉贤区","isolation",7
"2022-03-22","奉贤区","screen",1
"2022-03-22","虹口区","isolation",11
"2022-03-22","虹口区","screen",2
"2022-03-22","黄浦区","isolation",57
"2022-03-22","黄浦区","screen",2
"2022-03-22","嘉定区","isolation",105
"2022-03-22","嘉定区","screen",4
"2022-03-22","金山区","isolation",4
"2022-03-22","静安区","isolation",25
"2022-03-22","静安区","screen",3
"2022-03-22","闵行区","isolation",285
"2022-03-22","闵行区","screen",20
"2022-03-22","浦东新区","isolation",200
"2022-03-22","浦东新区","screen",37
"2022-03-22","普陀区","isolation",17
"2022-03-22","普陀区","screen",4
"2022-03-22","青浦区","isolation",19
"2022-03-22","青浦区","screen",1
"2022-03-22","松江区","isolation",31
"2022-03-22","徐汇区","isolation",77
"2022-03-22","徐汇区","screen",8
"2022-03-22","杨浦区","isolation",2
"2022-03-22","杨浦区","screen",1
"2022-03-22","长宁区","isolation",16
"2022-03-22","长宁区","screen",3
"2022-03-23","宝山区","isolation",52
"2022-03-23","宝山区","screen",17
"2022-03-23","崇明区","isolation",52
"2022-03-23","崇明区","screen",2
"2022-03-23","奉贤区","isolation",11
"2022-03-23","虹口区","isolation",23
"2022-03-23","虹口区","screen",3
"2022-03-23","黄浦区","isolation",17
"2022-03-23","黄浦区","screen",3
"2022-03-23","嘉定区","isolation",65
"2022-03-23","嘉定区","screen",3
"2022-03-23","金山区","isolation",5
"2022-03-23","静安区","isolation",46
"2022-03-23","静安区","screen",2
"2022-03-23","闵行区","isolation",235
"2022-03-23","闵行区","screen",19
"2022-03-23","浦东新区","isolation",185
"2022-03-23","浦东新区","screen",33
"2022-03-23","普陀区","isolation",30
"2022-03-23","普陀区","screen",4
"2022-03-23","青浦区","isolation",10
"2022-03-23","松江区","isolation",32
"2022-03-23","松江区","screen",2
"2022-03-23","徐汇区","isolation",99
"2022-03-23","徐汇区","screen",7
"2022-03-23","杨浦区","isolation",7
