"date","district","group","n"
2022-05-03,"浦东新区","isolation",833
2022-05-03,"黄浦区","isolation",877
2022-05-03,"徐汇区","isolation",335
2022-05-03,"长宁区","isolation",92
2022-05-03,"静安区","isolation",548
2022-05-03,"普陀区","isolation",54
2022-05-03,"虹口区","isolation",345
2022-05-03,"杨浦区","isolation",388
2022-05-03,"闵行区","isolation",237
2022-05-03,"宝山区","isolation",580
2022-05-03,"嘉定区","isolation",170
2022-05-03,"金山区","isolation",4
2022-05-03,"松江区","isolation",53
2022-05-03,"青浦区","isolation",41
2022-05-03,"奉贤区","isolation",5
2022-05-03,"崇明区","isolation",98
2022-05-03,"浦东新区","screen",1
2022-05-03,"黄浦区","screen",35
2022-05-03,"徐汇区","screen",2
2022-05-03,"长宁区","screen",4
2022-05-03,"虹口区","screen",2
2022-05-03,"杨浦区","screen",6
2022-05-03,"宝山区","screen",6
2022-05-03,"嘉定区","screen",1
2022-05-03,"松江区","screen",3
2022-05-03,"奉贤区","screen",1
2022-05-03,"崇明区","screen",1
