"date","district","group","n"
"2022-05-01","浦东新区","isolation",1510
"2022-05-01","黄浦区","isolation",976
"2022-05-01","徐汇区","isolation",368
"2022-05-01","长宁区","isolation",210
"2022-05-01","静安区","isolation",632
"2022-05-01","普陀区","isolation",83
"2022-05-01","虹口区","isolation",579
"2022-05-01","杨浦区","isolation",432
"2022-05-01","闵行区","isolation",357
"2022-05-01","宝山区","isolation",878
"2022-05-01","嘉定区","isolation",254
"2022-05-01","金山区","isolation",12
"2022-05-01","松江区","isolation",80
"2022-05-01","青浦区","isolation",90
"2022-05-01","奉贤区","isolation",12
"2022-05-01","崇明区","isolation",75
"2022-05-01","浦东新区","screen",10
"2022-05-01","黄浦区","screen",8
"2022-05-01","徐汇区","screen",3
"2022-05-01","虹口区","screen",21
"2022-05-01","宝山区","screen",11
"2022-05-01","松江区","screen",4
"2022-05-01","青浦区","screen",1
