"date","district","group","n"
"2022-04-09","浦东新区","isolation",10312
"2022-04-09","黄浦区","isolation",444
"2022-04-09","徐汇区","isolation",1056
"2022-04-09","长宁区","isolation",716
"2022-04-09","静安区","isolation",559
"2022-04-09","普陀区","isolation",614
"2022-04-09","虹口区","isolation",306
"2022-04-09","杨浦区","isolation",1040
"2022-04-09","闵行区","isolation",4490
"2022-04-09","宝山区","isolation",2211
"2022-04-09","嘉定区","isolation",341
"2022-04-09","金山区","isolation",21
"2022-04-09","松江区","isolation",482
"2022-04-09","青浦区","isolation",547
"2022-04-09","奉贤区","isolation",106
"2022-04-09","崇明区","isolation",167
"2022-04-09","浦东新区","screen",301
"2022-04-09","黄浦区","screen",3
"2022-04-09","徐汇区","screen",50
"2022-04-09","长宁区","screen",15
"2022-04-09","静安区","screen",18
"2022-04-09","普陀区","screen",15
"2022-04-09","虹口区","screen",31
"2022-04-09","杨浦区","screen",8
"2022-04-09","闵行区","screen",46
"2022-04-09","宝山区","screen",14
"2022-04-09","嘉定区","screen",7
"2022-04-09","金山区","screen",3
"2022-04-09","松江区","screen",8
"2022-04-09","青浦区","screen",1
"2022-04-09","奉贤区","screen",5
