"date","district","group","n"
"2022-04-22","浦东新区","isolation",519
"2022-04-22","黄浦区","isolation",167
"2022-04-22","徐汇区","isolation",20
"2022-04-22","长宁区","isolation",87
"2022-04-22","静安区","isolation",64
"2022-04-22","普陀区","isolation",36
"2022-04-22","虹口区","isolation",113
"2022-04-22","杨浦区","isolation",79
"2022-04-22","闵行区","isolation",104
"2022-04-22","宝山区","isolation",116
"2022-04-22","嘉定区","isolation",67
"2022-04-22","松江区","isolation",115
"2022-04-22","青浦区","isolation",41
"2022-04-22","奉贤区","isolation",5
"2022-04-22","崇明区","isolation",9
"2022-04-22","浦东新区","screen",3
"2022-04-22","黄浦区","screen",8
"2022-04-22","徐汇区","screen",24
"2022-04-22","长宁区","screen",1
"2022-04-22","静安区","screen",8
"2022-04-22","普陀区","screen",4
"2022-04-22","虹口区","screen",1
"2022-04-22","杨浦区","screen",3
"2022-04-22","闵行区","screen",12
"2022-04-22","宝山区","screen",6
"2022-04-22","嘉定区","screen",1
"2022-04-22","松江区","screen",2
"2022-04-22","青浦区","screen",1
"2022-04-22","浦东新区","asym",182
"2022-04-22","黄浦区","asym",260
"2022-04-22","徐汇区","asym",79
"2022-04-22","长宁区","asym",76
"2022-04-22","静安区","asym",4
"2022-04-22","普陀区","asym",31
"2022-04-22","虹口区","asym",314
"2022-04-22","杨浦区","asym",6
"2022-04-22","闵行区","asym",92
"2022-04-22","宝山区","asym",57
"2022-04-22","嘉定区","asym",8
"2022-04-22","松江区","asym",3
"2022-04-22","青浦区","asym",2
"2022-04-22","奉贤区","asym",1
"2022-04-22","崇明区","asym",5
