"date","district","group","n"
2022-04-16,"浦东新区","isolation",390
2022-04-16,"黄浦区","isolation",169
2022-04-16,"徐汇区","isolation",142
2022-04-16,"长宁区","isolation",113
2022-04-16,"静安区","isolation",125
2022-04-16,"普陀区","isolation",123
2022-04-16,"虹口区","isolation",121
2022-04-16,"杨浦区","isolation",78
2022-04-16,"闵行区","isolation",225
2022-04-16,"宝山区","isolation",40
2022-04-16,"嘉定区","isolation",73
2022-04-16,"金山区","isolation",4
2022-04-16,"松江区","isolation",83
2022-04-16,"青浦区","isolation",41
2022-04-16,"奉贤区","isolation",20
2022-04-16,"崇明区","isolation",7
2022-04-16,"浦东新区","screen",136
2022-04-16,"黄浦区","screen",13
2022-04-16,"徐汇区","screen",27
2022-04-16,"长宁区","screen",11
2022-04-16,"静安区","screen",18
2022-04-16,"普陀区","screen",21
2022-04-16,"虹口区","screen",36
2022-04-16,"杨浦区","screen",5
2022-04-16,"闵行区","screen",16
2022-04-16,"宝山区","screen",7
2022-04-16,"嘉定区","screen",8
2022-04-16,"松江区","screen",3
2022-04-16,"青浦区","screen",3
2022-04-16,"崇明区","screen",3
2022-04-16,"浦东新区","asym",476
2022-04-16,"黄浦区","asym",6
2022-04-16,"徐汇区","asym",1
2022-04-16,"长宁区","asym",3
2022-04-16,"普陀区","asym",1
2022-04-16,"杨浦区","asym",1
2022-04-16,"闵行区","asym",649
2022-04-16,"宝山区","asym",4
2022-04-16,"嘉定区","asym",22
2022-04-16,"金山区","asym",5
2022-04-16,"松江区","asym",1
2022-04-16,"青浦区","asym",2
2022-04-16,"奉贤区","asym",3
2022-04-16,"崇明区","asym",3
