"date","district","group","n"
"2022-05-07","浦东新区","isolation",22
"2022-05-07","黄浦区","isolation",7
"2022-05-07","徐汇区","isolation",6
"2022-05-07","静安区","isolation",3
"2022-05-07","普陀区","isolation",3
"2022-05-07","虹口区","isolation",14
"2022-05-07","杨浦区","isolation",1
"2022-05-07","闵行区","isolation",7
"2022-05-07","宝山区","isolation",13
"2022-05-07","松江区","isolation",3
"2022-05-07","青浦区","isolation",1
"2022-05-07","浦东新区","asym",6
"2022-05-07","黄浦区","asym",30
"2022-05-07","徐汇区","asym",4
"2022-05-07","长宁区","asym",3
"2022-05-07","静安区","asym",16
"2022-05-07","普陀区","asym",2
"2022-05-07","虹口区","asym",10
"2022-05-07","杨浦区","asym",6
"2022-05-07","闵行区","asym",6
"2022-05-07","宝山区","asym",20
"2022-05-07","嘉定区","asym",11
"2022-05-07","松江区","asym",19
"2022-05-07","青浦区","asym",2
