"date","district","group","n"
"2022-05-06","浦东新区","isolation",544
"2022-05-06","黄浦区","isolation",566
"2022-05-06","徐汇区","isolation",309
"2022-05-06","长宁区","isolation",64
"2022-05-06","静安区","isolation",468
"2022-05-06","普陀区","isolation",72
"2022-05-06","虹口区","isolation",260
"2022-05-06","杨浦区","isolation",395
"2022-05-06","闵行区","isolation",281
"2022-05-06","宝山区","isolation",479
"2022-05-06","嘉定区","isolation",198
"2022-05-06","金山区","isolation",4
"2022-05-06","松江区","isolation",19
"2022-05-06","青浦区","isolation",166
"2022-05-06","奉贤区","isolation",19
"2022-05-06","崇明区","isolation",99
"2022-05-06","浦东新区","screen",7
"2022-05-06","黄浦区","screen",1
"2022-05-06","徐汇区","screen",2
"2022-05-06","虹口区","screen",2
"2022-05-06","宝山区","screen",2
"2022-05-06","金山区","screen",1
"2022-05-06","松江区","screen",3
