"date","district","group","n"
"2022-03-11","宝山区","isolation",6
"2022-03-11","宝山区","screen",1
"2022-03-11","奉贤区","screen",1
"2022-03-11","虹口区","isolation",2
"2022-03-11","黄浦区","isolation",3
"2022-03-11","黄浦区","screen",2
"2022-03-11","嘉定区","isolation",11
"2022-03-11","金山区","screen",4
"2022-03-11","静安区","isolation",3
"2022-03-11","静安区","screen",1
"2022-03-11","闵行区","isolation",12
"2022-03-11","闵行区","screen",5
"2022-03-11","浦东新区","isolation",9
"2022-03-11","浦东新区","screen",1
"2022-03-11","青浦区","isolation",1
"2022-03-11","松江区","isolation",4
"2022-03-11","松江区","screen",1
"2022-03-11","徐汇区","isolation",6
"2022-03-11","徐汇区","screen",4
"2022-03-11","长宁区","isolation",1
