"date","district","group","n"
"2022-05-12","浦东新区","isolation",259
"2022-05-12","黄浦区","isolation",274
"2022-05-12","徐汇区","isolation",88
"2022-05-12","长宁区","isolation",59
"2022-05-12","静安区","isolation",172
"2022-05-12","普陀区","isolation",27
"2022-05-12","虹口区","isolation",79
"2022-05-12","杨浦区","isolation",515
"2022-05-12","闵行区","isolation",128
"2022-05-12","宝山区","isolation",155
"2022-05-12","嘉定区","isolation",67
"2022-05-12","金山区","isolation",1
"2022-05-12","松江区","isolation",15
"2022-05-12","青浦区","isolation",19
"2022-05-12","奉贤区","isolation",1
"2022-05-12","崇明区","isolation",6
"2022-05-12","浦东新区","screen",4
