"date","district","group","n"
"2022-05-12","浦东新区","isolation",10
"2022-05-12","徐汇区","isolation",3
"2022-05-12","静安区","isolation",11
"2022-05-12","普陀区","isolation",1
"2022-05-12","虹口区","isolation",20
"2022-05-12","杨浦区","isolation",6
"2022-05-12","闵行区","isolation",1
"2022-05-12","宝山区","isolation",7
"2022-05-12","松江区","isolation",1
"2022-05-12","浦东新区","asym",7
"2022-05-12","黄浦区","asym",23
"2022-05-12","徐汇区","asym",2
"2022-05-12","静安区","asym",24
"2022-05-12","普陀区","asym",1
"2022-05-12","虹口区","asym",4
"2022-05-12","杨浦区","asym",28
"2022-05-12","闵行区","asym",14
"2022-05-12","宝山区","asym",12
"2022-05-12","嘉定区","asym",42
"2022-05-12","松江区","asym",6
"2022-05-12","青浦区","asym",1
"2022-05-12","崇明区","asym",3
