"date","district","group","n"
2022-04-17,"浦东新区","isolation",7029
2022-04-17,"黄浦区","isolation",1655
2022-04-17,"徐汇区","isolation",1346
2022-04-17,"长宁区","isolation",658
2022-04-17,"静安区","isolation",710
2022-04-17,"普陀区","isolation",878
2022-04-17,"虹口区","isolation",900
2022-04-17,"杨浦区","isolation",856
2022-04-17,"闵行区","isolation",2275
2022-04-17,"宝山区","isolation",1361
2022-04-17,"嘉定区","isolation",614
2022-04-17,"金山区","isolation",18
2022-04-17,"松江区","isolation",744
2022-04-17,"青浦区","isolation",345
2022-04-17,"奉贤区","isolation",14
2022-04-17,"崇明区","isolation",22
2022-04-17,"浦东新区","screen",190
2022-04-17,"黄浦区","screen",55
2022-04-17,"徐汇区","screen",40
2022-04-17,"长宁区","screen",19
2022-04-17,"静安区","screen",5
2022-04-17,"普陀区","screen",17
2022-04-17,"杨浦区","screen",5
2022-04-17,"闵行区","screen",21
2022-04-17,"宝山区","screen",4
2022-04-17,"嘉定区","screen",8
2022-04-17,"金山区","screen",1
2022-04-17,"松江区","screen",8
2022-04-17,"青浦区","screen",7
2022-04-17,"奉贤区","screen",5
2022-04-17,"崇明区","screen",21
