"date","district","group","n"
2022-05-06,"浦东新区","isolation",19
2022-05-06,"黄浦区","isolation",16
2022-05-06,"徐汇区","isolation",7
2022-05-06,"长宁区","isolation",1
2022-05-06,"静安区","isolation",1
2022-05-06,"普陀区","isolation",2
2022-05-06,"虹口区","isolation",6
2022-05-06,"杨浦区","isolation",7
2022-05-06,"闵行区","isolation",10
2022-05-06,"宝山区","isolation",3
2022-05-06,"松江区","isolation",3
2022-05-06,"青浦区","isolation",2
2022-05-06,"奉贤区","isolation",1
2022-05-06,"浦东新区","asym",14
2022-05-06,"黄浦区","asym",44
2022-05-06,"徐汇区","asym",12
2022-05-06,"长宁区","asym",6
2022-05-06,"静安区","asym",15
2022-05-06,"普陀区","asym",3
2022-05-06,"虹口区","asym",11
2022-05-06,"杨浦区","asym",23
2022-05-06,"闵行区","asym",18
2022-05-06,"宝山区","asym",18
2022-05-06,"嘉定区","asym",3
2022-05-06,"金山区","asym",3
2022-05-06,"松江区","asym",2
2022-05-06,"青浦区","asym",1
2022-05-06,"奉贤区","asym",1
2022-05-06,"崇明区","asym",1
