"date","district","group","n"
2022-05-08,"浦东新区","isolation",19
2022-05-08,"黄浦区","isolation",7
2022-05-08,"徐汇区","isolation",7
2022-05-08,"长宁区","isolation",2
2022-05-08,"静安区","isolation",16
2022-05-08,"普陀区","isolation",3
2022-05-08,"虹口区","isolation",16
2022-05-08,"杨浦区","isolation",6
2022-05-08,"闵行区","isolation",4
2022-05-08,"宝山区","isolation",8
2022-05-08,"嘉定区","isolation",1
2022-05-08,"松江区","isolation",3
2022-05-08,"浦东新区","asym",15
2022-05-08,"黄浦区","asym",53
2022-05-08,"徐汇区","asym",15
2022-05-08,"长宁区","asym",5
2022-05-08,"静安区","asym",22
2022-05-08,"普陀区","asym",2
2022-05-08,"虹口区","asym",38
2022-05-08,"杨浦区","asym",12
2022-05-08,"闵行区","asym",5
2022-05-08,"宝山区","asym",17
2022-05-08,"嘉定区","asym",26
2022-05-08,"金山区","asym",2
2022-05-08,"松江区","asym",10
2022-05-08,"青浦区","asym",1
2022-05-08,"奉贤区","asym",4
2022-05-08,"崇明区","asym",3
