"date","district","case_isolation","case_screen","case_asym","asym_isolation","asym_screen","case","asym","pos","pos_real","cum_case_isolation","cum_case_screen","cum_case_asym","cum_case","cum_asym_isolation","cum_asym_screen","cum_asym","cum_pos","cum_pos_real"
"2022-07-09","浦东新区",2,0,0,6,0,2,6,8,8,8556,3501,5009,17066,202541,7880,210421,227487,222478
"2022-07-10","浦东新区",2,0,0,13,0,2,13,15,15,8558,3501,5009,17068,202554,7880,210434,227502,222493
"2022-03-09","普陀区",0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1
"2022-03-10","普陀区",0,0,0,4,0,0,4,4,4,0,0,0,0,4,1,5,5,5
"2022-03-11","普陀区",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,5,5
"2022-03-12","普陀区",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,5,5
"2022-03-13","普陀区",0,1,0,2,3,1,5,6,6,0,1,0,1,6,4,10,11,11
"2022-03-14","普陀区",0,0,0,0,0,0,0,0,0,0,1,0,1,6,4,10,11,11
"2022-03-15","普陀区",0,0,0,5,4,0,9,9,9,0,1,0,1,11,8,19,20,20
"2022-03-16","普陀区",0,0,0,2,1,0,3,3,3,0,1,0,1,13,9,22,23,23
"2022-03-17","普陀区",0,1,0,3,3,1,6,7,7,0,2,0,2,16,12,28,30,30
"2022-03-18","普陀区",0,0,0,14,9,0,23,23,23,0,2,0,2,30,21,51,53,53
"2022-03-19","普陀区",0,0,0,17,8,0,25,25,25,0,2,0,2,47,29,76,78,78
"2022-03-20","普陀区",0,0,0,17,1,0,18,18,18,0,2,0,2,64,30,94,96,96
"2022-03-21","普陀区",1,0,0,23,7,1,30,31,31,1,2,0,3,87,37,124,127,127
"2022-03-22","普陀区",0,0,0,17,4,0,21,21,21,1,2,0,3,104,41,145,148,148
"2022-03-23","普陀区",0,0,0,30,4,0,34,34,34,1,2,0,3,134,45,179,182,182
"2022-03-24","普陀区",0,2,0,34,2,2,36,38,38,1,4,0,5,168,47,215,220,220
"2022-03-25","普陀区",0,1,0,6,2,1,8,9,9,1,5,0,6,174,49,223,229,229
"2022-03-26","普陀区",0,1,0,53,15,1,68,69,69,1,6,0,7,227,64,291,298,298
"2022-03-27","普陀区",0,4,0,49,17,4,66,70,70,1,10,0,11,276,81,357,368,368
"2022-03-28","普陀区",0,2,1,53,25,3,78,81,80,1,12,1,14,329,106,435,449,448
"2022-03-29","普陀区",0,5,1,99,8,6,107,113,112,1,17,2,20,428,114,542,562,560
"2022-03-30","普陀区",1,3,2,111,29,6,140,146,144,2,20,4,26,539,143,682,708,704
"2022-03-31","普陀区",0,4,2,5,4,6,9,15,13,2,24,6,32,544,147,691,723,717
"2022-04-01","普陀区",2,11,0,198,34,13,232,245,245,4,35,6,45,742,181,923,968,962
"2022-04-02","普陀区",0,35,4,290,59,39,349,388,384,4,70,10,84,1032,240,1272,1356,1346
"2022-04-03","普陀区",0,21,0,243,57,21,300,321,321,4,91,10,105,1275,297,1572,1677,1667
"2022-04-04","普陀区",1,3,0,240,10,4,250,254,254,5,94,10,109,1515,307,1822,1931,1921
"2022-04-05","普陀区",0,6,1,467,9,7,476,483,482,5,100,11,116,1982,316,2298,2414,2403
"2022-04-06","普陀区",1,26,0,990,16,27,1006,1033,1033,6,126,11,143,2972,332,3304,3447,3436
"2022-04-07","普陀区",0,6,5,925,21,11,946,957,952,6,132,16,154,3897,353,4250,4404,4388
"2022-04-08","普陀区",1,8,12,1026,47,21,1073,1094,1082,7,140,28,175,4923,400,5323,5498,5470
"2022-04-09","普陀区",0,20,4,614,15,24,629,653,649,7,160,32,199,5537,415,5952,6151,6119
"2022-04-10","普陀区",0,6,1,942,52,7,994,1001,1000,7,166,33,206,6479,467,6946,7152,7119
"2022-04-11","普陀区",0,16,21,1815,26,37,1841,1878,1857,7,182,54,243,8294,493,8787,9030,8976
"2022-04-12","普陀区",30,19,1,1057,63,50,1120,1170,1169,37,201,55,293,9351,556,9907,10200,10145
"2022-04-13","普陀区",32,11,2,401,29,45,430,475,473,69,212,57,338,9752,585,10337,10675,10618
"2022-04-14","普陀区",27,18,0,208,11,45,219,264,264,96,230,57,383,9960,596,10556,10939,10882
"2022-04-15","普陀区",44,21,1,341,19,66,360,426,425,140,251,58,449,10301,615,10916,11365,11307
"2022-04-16","普陀区",123,21,1,1163,23,145,1186,1331,1330,263,272,59,594,11464,638,12102,12696,12637
"2022-04-17","普陀区",69,15,246,878,17,330,895,1225,979,332,287,305,924,12342,655,12997,13921,13616
"2022-04-18","普陀区",13,7,1,349,1,21,350,371,370,345,294,306,945,12691,656,13347,14292,13986
"2022-04-19","普陀区",77,7,16,423,5,100,428,528,512,422,301,322,1045,13114,661,13775,14820,14498
"2022-04-20","普陀区",27,11,11,485,21,49,506,555,544,449,312,333,1094,13599,682,14281,15375,15042
"2022-04-21","普陀区",86,6,2,389,6,94,395,489,487,535,318,335,1188,13988,688,14676,15864,15529
"2022-04-22","普陀区",36,4,31,450,2,71,452,523,492,571,322,366,1259,14438,690,15128,16387,16021
"2022-04-23","普陀区",29,1,9,439,0,39,439,478,469,600,323,375,1298,14877,690,15567,16865,16490
"2022-04-24","普陀区",38,0,5,431,3,43,434,477,472,638,323,380,1341,15308,693,16001,17342,16962
"2022-04-25","普陀区",38,0,9,367,4,47,371,418,409,676,323,389,1388,15675,697,16372,17760,17371
"2022-04-26","普陀区",23,0,81,259,2,104,261,365,284,699,323,470,1492,15934,699,16633,18125,17655
"2022-04-27","普陀区",11,0,13,268,9,24,277,301,288,710,323,483,1516,16202,708,16910,18426,17943
"2022-04-28","普陀区",18,0,78,138,1,96,139,235,157,728,323,561,1612,16340,709,17049,18661,18100
"2022-04-29","普陀区",32,0,23,86,0,55,86,141,118,760,323,584,1667,16426,709,17135,18802,18218
"2022-04-30","普陀区",5,0,22,87,0,27,87,114,92,765,323,606,1694,16513,709,17222,18916,18310
"2022-05-01","普陀区",5,0,7,83,0,12,83,95,88,770,323,613,1706,16596,709,17305,19011,18398
"2022-05-02","普陀区",1,0,0,78,0,1,78,79,79,771,323,613,1707,16674,709,17383,19090,18477
"2022-05-03","普陀区",3,0,5,54,0,8,54,62,57,774,323,618,1715,16728,709,17437,19152,18534
"2022-05-04","普陀区",2,0,1,88,0,3,88,91,90,776,323,619,1718,16816,709,17525,19243,18624
"2022-05-05","普陀区",0,0,1,78,0,1,78,79,78,776,323,620,1719,16894,709,17603,19322,18702
"2022-05-06","普陀区",2,0,3,72,0,5,72,77,74,778,323,623,1724,16966,709,17675,19399,18776
"2022-05-07","普陀区",3,0,2,51,0,5,51,56,54,781,323,625,1729,17017,709,17726,19455,18830
"2022-05-08","普陀区",3,0,2,44,0,5,44,49,47,784,323,627,1734,17061,709,17770,19504,18877
"2022-05-09","普陀区",6,0,1,43,0,7,43,50,49,790,323,628,1741,17104,709,17813,19554,18926
"2022-05-10","普陀区",0,0,5,25,0,5,25,30,25,790,323,633,1746,17129,709,17838,19584,18951
"2022-05-11","普陀区",0,0,2,27,0,2,27,29,27,790,323,635,1748,17156,709,17865,19613,18978
"2022-05-12","普陀区",1,0,1,27,0,2,27,29,28,791,323,636,1750,17183,709,17892,19642,19006
"2022-05-13","普陀区",1,0,3,24,0,4,24,28,25,792,323,639,1754,17207,709,17916,19670,19031
"2022-05-14","普陀区",0,0,2,26,0,2,26,28,26,792,323,641,1756,17233,709,17942,19698,19057
"2022-05-15","普陀区",0,0,2,6,0,2,6,8,6,792,323,643,1758,17239,709,17948,19706,19063
"2022-05-16","普陀区",0,0,2,8,0,2,8,10,8,792,323,645,1760,17247,709,17956,19716,19071
"2022-05-17","普陀区",0,0,0,12,0,0,12,12,12,792,323,645,1760,17259,709,17968,19728,19083
"2022-05-18","普陀区",2,0,0,11,0,2,11,13,13,794,323,645,1762,17270,709,17979,19741,19096
"2022-05-19","普陀区",0,0,0,20,0,0,20,20,20,794,323,645,1762,17290,709,17999,19761,19116
"2022-05-20","普陀区",0,0,2,18,0,2,18,20,18,794,323,647,1764,17308,709,18017,19781,19134
"2022-05-21","普陀区",0,0,0,14,0,0,14,14,14,794,323,647,1764,17322,709,18031,19795,19148
"2022-05-22","普陀区",0,0,0,12,0,0,12,12,12,794,323,647,1764,17334,709,18043,19807,19160
"2022-05-23","普陀区",1,0,0,11,0,1,11,12,12,795,323,647,1765,17345,709,18054,19819,19172
"2022-05-24","普陀区",1,0,0,8,0,1,8,9,9,796,323,647,1766,17353,709,18062,19828,19181
"2022-05-25","普陀区",0,0,0,9,0,0,9,9,9,796,323,647,1766,17362,709,18071,19837,19190
"2022-05-26","普陀区",1,0,0,5,0,1,5,6,6,797,323,647,1767,17367,709,18076,19843,19196
"2022-05-27","普陀区",0,0,0,4,0,0,4,4,4,797,323,647,1767,17371,709,18080,19847,19200
"2022-05-28","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17371,709,18080,19847,19200
"2022-05-29","普陀区",0,0,0,2,0,0,2,2,2,797,323,647,1767,17373,709,18082,19849,19202
"2022-05-30","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17373,709,18082,19849,19202
"2022-05-31","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17373,709,18082,19849,19202
"2022-06-01","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17373,709,18082,19849,19202
"2022-06-02","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17373,709,18082,19849,19202
"2022-06-03","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17373,709,18082,19849,19202
"2022-06-04","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17373,709,18082,19849,19202
"2022-06-05","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17373,709,18082,19849,19202
"2022-06-06","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17373,709,18082,19849,19202
"2022-06-07","普陀区",0,0,0,1,0,0,1,1,1,797,323,647,1767,17374,709,18083,19850,19203
"2022-06-08","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17374,709,18083,19850,19203
"2022-06-09","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17374,709,18083,19850,19203
"2022-06-10","普陀区",0,0,0,2,0,0,2,2,2,797,323,647,1767,17376,709,18085,19852,19205
"2022-06-11","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17376,709,18085,19852,19205
"2022-06-12","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17376,709,18085,19852,19205
"2022-06-13","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17376,709,18085,19852,19205
"2022-06-14","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17376,709,18085,19852,19205
"2022-06-15","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17376,709,18085,19852,19205
"2022-06-16","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17376,709,18085,19852,19205
"2022-06-17","普陀区",0,0,0,4,1,0,5,5,5,797,323,647,1767,17380,710,18090,19857,19210
"2022-06-18","普陀区",0,0,0,2,0,0,2,2,2,797,323,647,1767,17382,710,18092,19859,19212
"2022-06-19","普陀区",0,0,0,1,0,0,1,1,1,797,323,647,1767,17383,710,18093,19860,19213
"2022-06-20","普陀区",0,0,0,1,0,0,1,1,1,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-21","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-22","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-23","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-24","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-25","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-26","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-27","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-28","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-29","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-06-30","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-07-01","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-07-02","普陀区",0,0,0,0,0,0,0,0,0,797,323,647,1767,17384,710,18094,19861,19214
"2022-07-03","普陀区",0,0,0,0,1,0,1,1,1,797,323,647,1767,17384,711,18095,19862,19215
"2022-07-04","普陀区",1,0,0,4,0,1,4,5,5,798,323,647,1768,17388,711,18099,19867,19220
"2022-07-05","普陀区",1,0,0,7,0,1,7,8,8,799,323,647,1769,17395,711,18106,19875,19228
"2022-07-06","普陀区",1,0,0,12,0,1,12,13,13,800,323,647,1770,17407,711,18118,19888,19241
"2022-07-07","普陀区",1,0,0,4,0,1,4,5,5,801,323,647,1771,17411,711,18122,19893,19246
"2022-07-08","普陀区",1,0,0,12,0,1,12,13,13,802,323,647,1772,17423,711,18134,19906,19259
"2022-07-09","普陀区",0,0,0,9,0,0,9,9,9,802,323,647,1772,17432,711,18143,19915,19268
"2022-07-10","普陀区",0,0,0,2,0,0,2,2,2,802,323,647,1772,17434,711,18145,19917,19270
"2022-03-09","青浦区",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-03-10","青浦区",1,0,0,4,0,1,4,5,5,1,0,0,1,4,0,4,5,5
"2022-03-11","青浦区",0,0,0,1,0,0,1,1,1,1,0,0,1,5,0,5,6,6
"2022-03-12","青浦区",0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,5,6,6
"2022-03-13","青浦区",0,0,2,1,1,2,2,4,2,1,0,2,3,6,1,7,10,8
"2022-03-14","青浦区",0,0,0,0,0,0,0,0,0,1,0,2,3,6,1,7,10,8
"2022-03-15","青浦区",0,0,0,3,3,0,6,6,6,1,0,2,3,9,4,13,16,14
"2022-03-16","青浦区",0,0,0,1,0,0,1,1,1,1,0,2,3,10,4,14,17,15
"2022-03-17","青浦区",0,0,0,0,1,0,1,1,1,1,0,2,3,10,5,15,18,16
"2022-03-18","青浦区",0,0,0,1,15,0,16,16,16,1,0,2,3,11,20,31,34,32
"2022-03-19","青浦区",0,0,0,0,5,0,5,5,5,1,0,2,3,11,25,36,39,37
"2022-03-20","青浦区",0,0,0,4,0,0,4,4,4,1,0,2,3,15,25,40,43,41
"2022-03-21","青浦区",0,0,0,4,1,0,5,5,5,1,0,2,3,19,26,45,48,46
"2022-03-22","青浦区",0,0,0,19,1,0,20,20,20,1,0,2,3,38,27,65,68,66
"2022-03-23","青浦区",0,0,0,10,0,0,10,10,10,1,0,2,3,48,27,75,78,76
"2022-03-24","青浦区",0,0,0,13,0,0,13,13,13,1,0,2,3,61,27,88,91,89
"2022-03-25","青浦区",0,0,0,13,0,0,13,13,13,1,0,2,3,74,27,101,104,102
"2022-03-26","青浦区",0,0,0,20,2,0,22,22,22,1,0,2,3,94,29,123,126,124
"2022-03-27","青浦区",0,0,0,35,8,0,43,43,43,1,0,2,3,129,37,166,169,167
"2022-03-28","青浦区",0,2,0,51,4,2,55,57,57,1,2,2,5,180,41,221,226,224
"2022-03-29","青浦区",0,0,0,85,2,0,87,87,87,1,2,2,5,265,43,308,313,311
"2022-03-30","青浦区",0,3,2,63,9,5,72,77,75,1,5,4,10,328,52,380,390,386
"2022-03-31","青浦区",0,0,1,73,21,1,94,95,94,1,5,5,11,401,73,474,485,480
"2022-04-01","青浦区",0,0,0,76,11,0,87,87,87,1,5,5,11,477,84,561,572,567
"2022-04-02","青浦区",0,3,0,192,36,3,228,231,231,1,8,5,14,669,120,789,803,798
"2022-04-03","青浦区",0,2,1,224,5,3,229,232,231,1,10,6,17,893,125,1018,1035,1029
"2022-04-04","青浦区",0,1,0,309,4,1,313,314,314,1,11,6,18,1202,129,1331,1349,1343
"2022-04-05","青浦区",0,6,0,376,2,6,378,384,384,1,17,6,24,1578,131,1709,1733,1727
"2022-04-06","青浦区",0,4,0,464,2,4,466,470,470,1,21,6,28,2042,133,2175,2203,2197
"2022-04-07","青浦区",0,0,4,486,3,4,489,493,489,1,21,10,32,2528,136,2664,2696,2686
"2022-04-08","青浦区",9,7,8,316,2,24,318,342,334,10,28,18,56,2844,138,2982,3038,3020
"2022-04-09","青浦区",0,2,7,547,1,9,548,557,550,10,30,25,65,3391,139,3530,3595,3570
"2022-04-10","青浦区",0,1,0,868,8,1,876,877,877,10,31,25,66,4259,147,4406,4472,4447
"2022-04-11","青浦区",0,3,4,316,8,7,324,331,327,10,34,29,73,4575,155,4730,4803,4774
"2022-04-12","青浦区",53,7,1,456,7,61,463,524,523,63,41,30,134,5031,162,5193,5327,5297
"2022-04-13","青浦区",53,5,41,219,1,99,220,319,278,116,46,71,233,5250,163,5413,5646,5575
"2022-04-14","青浦区",122,6,0,172,4,128,176,304,304,238,52,71,361,5422,167,5589,5950,5879
"2022-04-15","青浦区",121,9,1,394,11,131,405,536,535,359,61,72,492,5816,178,5994,6486,6414
"2022-04-16","青浦区",41,3,2,256,3,46,259,305,303,400,64,74,538,6072,181,6253,6791,6717
"2022-04-17","青浦区",14,2,1,345,7,17,352,369,368,414,66,75,555,6417,188,6605,7160,7085
"2022-04-18","青浦区",42,12,23,165,15,77,180,257,234,456,78,98,632,6582,203,6785,7417,7319
"2022-04-19","青浦区",67,1,4,310,7,72,317,389,385,523,79,102,704,6892,210,7102,7806,7704
"2022-04-20","青浦区",60,4,56,157,3,120,160,280,224,583,83,158,824,7049,213,7262,8086,7928
"2022-04-21","青浦区",54,3,3,311,14,60,325,385,382,637,86,161,884,7360,227,7587,8471,8310
"2022-04-22","青浦区",41,1,2,302,13,44,315,359,357,678,87,163,928,7662,240,7902,8830,8667
"2022-04-23","青浦区",19,6,1,361,37,26,398,424,423,697,93,164,954,8023,277,8300,9254,9090
"2022-04-24","青浦区",5,0,3,240,3,8,243,251,248,702,93,167,962,8263,280,8543,9505,9338
"2022-04-25","青浦区",42,0,2,335,0,44,335,379,377,744,93,169,1006,8598,280,8878,9884,9715
"2022-04-26","青浦区",5,0,22,284,0,27,284,311,289,749,93,191,1033,8882,280,9162,10195,10004
"2022-04-27","青浦区",1,0,3,204,0,4,204,208,205,750,93,194,1037,9086,280,9366,10403,10209
"2022-04-28","青浦区",5,0,132,132,0,137,132,269,137,755,93,326,1174,9218,280,9498,10672,10346
"2022-04-29","青浦区",11,0,35,110,0,46,110,156,121,766,93,361,1220,9328,280,9608,10828,10467
"2022-04-30","青浦区",2,0,19,107,0,21,107,128,109,768,93,380,1241,9435,280,9715,10956,10576
"2022-05-01","青浦区",3,0,21,90,1,24,91,115,94,771,93,401,1265,9525,281,9806,11071,10670
"2022-05-02","青浦区",7,0,3,84,0,10,84,94,91,778,93,404,1275,9609,281,9890,11165,10761
"2022-05-03","青浦区",0,0,2,41,0,2,41,43,41,778,93,406,1277,9650,281,9931,11208,10802
"2022-05-04","青浦区",0,0,4,66,0,4,66,70,66,778,93,410,1281,9716,281,9997,11278,10868
"2022-05-05","青浦区",0,0,0,56,0,0,56,56,56,778,93,410,1281,9772,281,10053,11334,10924
"2022-05-06","青浦区",2,0,1,166,0,3,166,169,168,780,93,411,1284,9938,281,10219,11503,11092
"2022-05-07","青浦区",1,0,2,31,0,3,31,34,32,781,93,413,1287,9969,281,10250,11537,11124
"2022-05-08","青浦区",0,0,1,48,0,1,48,49,48,781,93,414,1288,10017,281,10298,11586,11172
"2022-05-09","青浦区",0,0,2,53,1,2,54,56,54,781,93,416,1290,10070,282,10352,11642,11226
"2022-05-10","青浦区",0,0,11,16,0,11,16,27,16,781,93,427,1301,10086,282,10368,11669,11242
"2022-05-11","青浦区",1,0,2,34,0,3,34,37,35,782,93,429,1304,10120,282,10402,11706,11277
"2022-05-12","青浦区",0,0,1,19,0,1,19,20,19,782,93,430,1305,10139,282,10421,11726,11296
"2022-05-13","青浦区",0,0,9,15,0,9,15,24,15,782,93,439,1314,10154,282,10436,11750,11311
"2022-05-14","青浦区",0,0,2,26,0,2,26,28,26,782,93,441,1316,10180,282,10462,11778,11337
"2022-05-15","青浦区",0,0,1,9,0,1,9,10,9,782,93,442,1317,10189,282,10471,11788,11346
"2022-05-16","青浦区",1,0,0,19,0,1,19,20,20,783,93,442,1318,10208,282,10490,11808,11366
"2022-05-17","青浦区",0,0,0,14,0,0,14,14,14,783,93,442,1318,10222,282,10504,11822,11380
"2022-05-18","青浦区",0,0,0,3,0,0,3,3,3,783,93,442,1318,10225,282,10507,11825,11383
"2022-05-19","青浦区",0,0,0,14,3,0,17,17,17,783,93,442,1318,10239,285,10524,11842,11400
"2022-05-20","青浦区",0,0,0,12,0,0,12,12,12,783,93,442,1318,10251,285,10536,11854,11412
"2022-05-21","青浦区",0,0,0,5,0,0,5,5,5,783,93,442,1318,10256,285,10541,11859,11417
"2022-05-22","青浦区",0,0,0,2,0,0,2,2,2,783,93,442,1318,10258,285,10543,11861,11419
"2022-05-23","青浦区",0,0,0,3,0,0,3,3,3,783,93,442,1318,10261,285,10546,11864,11422
"2022-05-24","青浦区",0,0,0,4,0,0,4,4,4,783,93,442,1318,10265,285,10550,11868,11426
"2022-05-25","青浦区",0,0,0,2,0,0,2,2,2,783,93,442,1318,10267,285,10552,11870,11428
"2022-05-26","青浦区",0,0,0,4,0,0,4,4,4,783,93,442,1318,10271,285,10556,11874,11432
"2022-05-27","青浦区",0,0,0,1,0,0,1,1,1,783,93,442,1318,10272,285,10557,11875,11433
"2022-05-28","青浦区",0,0,0,2,0,0,2,2,2,783,93,442,1318,10274,285,10559,11877,11435
"2022-05-29","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10274,285,10559,11877,11435
"2022-05-30","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10274,285,10559,11877,11435
"2022-05-31","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10274,285,10559,11877,11435
"2022-06-01","青浦区",0,0,0,1,0,0,1,1,1,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-02","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-03","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-04","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-05","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-06","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-07","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-08","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-09","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-10","青浦区",0,0,0,0,0,0,0,0,0,783,93,442,1318,10275,285,10560,11878,11436
"2022-06-11","青浦区",1,0,0,1,0,1,1,2,2,784,93,442,1319,10276,285,10561,11880,11438
"2022-06-12","青浦区",0,0,0,0,1,0,1,1,1,784,93,442,1319,10276,286,10562,11881,11439
"2022-06-13","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10276,286,10562,11881,11439
"2022-06-14","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10276,286,10562,11881,11439
"2022-06-15","青浦区",0,0,0,1,0,0,1,1,1,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-16","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-17","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-18","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-19","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-20","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-21","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-22","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-23","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-24","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-25","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-26","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-27","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-28","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-29","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-06-30","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-07-01","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-07-02","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-07-03","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-07-04","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-07-05","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-07-06","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10277,286,10563,11882,11440
"2022-07-07","青浦区",0,0,0,1,0,0,1,1,1,784,93,442,1319,10278,286,10564,11883,11441
"2022-07-08","青浦区",0,0,0,1,0,0,1,1,1,784,93,442,1319,10279,286,10565,11884,11442
"2022-07-09","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10279,286,10565,11884,11442
"2022-07-10","青浦区",0,0,0,0,0,0,0,0,0,784,93,442,1319,10279,286,10565,11884,11442
"2022-03-09","松江区",0,0,0,9,0,0,9,9,9,0,0,0,0,9,0,9,9,9
"2022-03-10","松江区",0,0,0,8,0,0,8,8,8,0,0,0,0,17,0,17,17,17
"2022-03-11","松江区",0,0,0,4,1,0,5,5,5,0,0,0,0,21,1,22,22,22
"2022-03-12","松江区",0,0,0,1,0,0,1,1,1,0,0,0,0,22,1,23,23,23
"2022-03-13","松江区",0,1,0,5,2,1,7,8,8,0,1,0,1,27,3,30,31,31
"2022-03-14","松江区",0,1,0,9,0,1,9,10,10,0,2,0,2,36,3,39,41,41
"2022-03-15","松江区",0,0,0,6,4,0,10,10,10,0,2,0,2,42,7,49,51,51
"2022-03-16","松江区",0,0,0,4,0,0,4,4,4,0,2,0,2,46,7,53,55,55
"2022-03-17","松江区",0,0,0,9,1,0,10,10,10,0,2,0,2,55,8,63,65,65
"2022-03-18","松江区",1,0,0,7,5,1,12,13,13,1,2,0,3,62,13,75,78,78
"2022-03-19","松江区",0,0,0,13,3,0,16,16,16,1,2,0,3,75,16,91,94,94
"2022-03-20","松江区",0,0,0,7,2,0,9,9,9,1,2,0,3,82,18,100,103,103
"2022-03-21","松江区",1,0,0,30,8,1,38,39,39,2,2,0,4,112,26,138,142,142
